
Cyber Jar^34124316^Flip Effect Monster^900^900^3^Rock^DARK^^^^`FLIP: Destroy all monsters on the field, then both players reveal the top 5 cards from their Decks, then Special Summon all revealed Level 4 or lower monsters in face-up Attack Position or face-down Defense Position, also add any remaining cards to their hand. (If either player has less than 5 cards in their Deck, reveal as many as possible.)`^Magic Ruler^2002-09-16^Mosaic^1st^White^^^Yes^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/34124316.jpg")
Cyber Jar^34124316^Flip Effect Monster^900^900^3^Rock^DARK^^^^`FLIP: Destroy all monsters on the field, then both players reveal the top 5 cards from their Decks, then Special Summon all revealed Level 4 or lower monsters in face-up Attack Position or face-down Defense Position, also add any remaining cards to their hand. (If either player has less than 5 cards in their Deck, reveal as many as possible.)`^Magic Ruler^2002-09-16^^1st^White^^^Yes^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/34124316.jpg")
Shien's Daredevil^98162021^Effect Monster^1600^1000^4^Warrior^EARTH^^^^`When this card is Normal Summoned: Place 1 Bushido Counter on it (max. 1). This card gains 300 ATK while it has a Bushido Counter on it. Once per turn: You can target 1 face-up card on the field that you can place a Bushido Counter on; remove 1 Bushido Counter from this card, then place it on that target.`^Storm of Ragnarok^2011-02-08^Secret^^Binder^^^^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/98162021.jpg")
Shien's Daredevil^98162021^Effect Monster^1600^1000^4^Warrior^EARTH^^^^`When this card is Normal Summoned: Place 1 Bushido Counter on it (max. 1). This card gains 300 ATK while it has a Bushido Counter on it. Once per turn: You can target 1 face-up card on the field that you can place a Bushido Counter on; remove 1 Bushido Counter from this card, then place it on that target.`^Storm of Ragnarok^2011-02-08^Secret^^Binder^^^^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/98162021.jpg")
Giant Germ^95178994^Effect Monster^1000^100^2^Fiend^DARK^^^^`When this card is destroyed by battle and sent to the Graveyard: Inflict 500 damage to your opponent, then you can Special Summon any number of \`Giant Germs\` from your Deck in face-up Attack Position.`^Magic Ruler^2002-09-16^^1st^White^^^Yes^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/95178994.jpg")
Giant Germ^95178994^Effect Monster^1000^100^2^Fiend^DARK^^^^`When this card is destroyed by battle and sent to the Graveyard: Inflict 500 damage to your opponent, then you can Special Summon any number of \`Giant Germs\` from your Deck in face-up Attack Position.`^Magic Ruler^2002-09-16^^1st^White^^^Yes^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/95178994.jpg")
The Hunter with 7 Weapons^1525329^Effect Monster^1000^600^3^Warrior^EARTH^^^^`When this card is Normal Summoned, declare 1 Type of monster. When battling that Type of monster, increase the ATK of this card by 1000 points during Damage Calculation.`^Legacy of Darkness^2003-06-06^^1st^White^^^Yes^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/1525329.jpg")
Witch's Apprentice^80741828^Effect Monster^550^500^2^Spellcaster^DARK^^^^`As long as this card remains face-up on the field, increase the ATK of all DARK monsters by 500 points and decrease the ATK of all LIGHT monsters by 400 points.`^Metal Raiders^2002-06-26^^^White^^^Yes^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/80741828.jpg")
Ushi Oni^48649353^Normal Monster^2150^1950^6^Fiend^DARK^^^^`A bull fiend restored by the dark arts, this monster appears out of a jar.`^McDonald's Promotional Cards^2002-12-20^^^White^^^Yes^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/48649353.jpg")
Morphing Jar^33508719^Flip Effect Monster^700^600^2^Rock^EARTH^^^^`FLIP: Both players discard as many cards as possible from their hands, then each player draws 5 cards.`^Tournament Pack: 2nd Season^2002-10-01^^1st^White^^^Yes^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/33508719.jpg")
Labyrinth Wall^67284908^Normal Monster^^3000^5^Rock^EARTH^^^^`These walls form a labyrinth with no exit for enemies.`^Magic Ruler^2002-09-16^^^White^^^Yes^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/67284908.jpg")
Aurkus Lightsworn Druid^7183277^Effect Monster^1200^1800^3^Beast-Warrior^LIGHT^Lightsworn^^^`Neither player can target \`Lightsworn\` monsters (anywhere) with card effects. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard.`^Light of Destruction^2008-05-13^^1st^Sticker^^^^^^^=IMAGE("https://storage.googleapis.com/ygoprodeck.com/pics/7183277.jpg")
